Mes;Día;Provincia;Establecimiento;NICA;Total Vales;Total Entregados;Total Cancelados;Total Incidencias;Total Devoluciones
Julio;28;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Julio;28;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Julio;28;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Julio;28;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Julio;28;Sevilla;Farmacia Manuel Rider Pérez;'020476;2;2;0;0;0
Julio;28;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Julio;29;Sevilla;Farmacia Jaime Román Alvarado;'019811;4;3;1;0;0
Julio;29;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;3;0;1;2;0
Julio;29;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Julio;29;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Julio;29;Sevilla;Farmacia Francisco Balsera Pérez;'020439;2;2;0;0;0
Julio;29;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;3;3;0;0;0
Julio;29;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;1;1;0;0
Julio;29;Sevilla;FARMACIA OJEDA CASARES;'020209;1;1;0;0;0
Julio;29;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;2;1;1;0;0
Julio;30;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;2;2;0;0;0
Julio;30;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Julio;30;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;1;0;0;0
Agosto;1;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;1;0;1;0;0
Agosto;1;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;1;1;0;0;0
Agosto;1;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;2;0;0;0
Agosto;1;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Agosto;1;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;2;0;1;1;0
Agosto;1;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;1;0;0;0
Agosto;2;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;1;0;1;0;0
Agosto;2;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;1;0;0;0
Agosto;2;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;11;0;6;5;0
Agosto;2;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;0;1;0;0
Agosto;2;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;1;0;0;0
Agosto;2;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Agosto;2;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;0;1;0;0
Agosto;2;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Agosto;3;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;6;0;6;0;0
Agosto;3;Sevilla;Farmacia Manuel Rider Pérez;'020476;2;2;0;0;0
Agosto;3;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;2;2;0;0;0
Agosto;3;Sevilla;Farmacia PICUPHARMA CB;'020577;4;4;0;0;0
Agosto;3;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Agosto;3;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Agosto;3;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;0;0;1;0
Agosto;3;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;2;0;0;0
Agosto;3;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;4;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;1;1;0;0;0
Agosto;4;Sevilla;Farmacia Jaime Román Alvarado;'019811;2;2;0;0;0
Agosto;4;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;3;1;2;0;0
Agosto;4;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Agosto;4;Sevilla;FARMACIA MARTÍN ALFARO;'020438;2;2;0;0;0
Agosto;4;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;5;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;5;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;1;0;0;0
Agosto;5;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;1;1;0;0;0
Agosto;5;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;6;3;1;2;0
Agosto;5;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;1;1;0;0
Agosto;5;Sevilla;Farmacia Manuel Rider Pérez;'020476;6;6;0;0;0
Agosto;5;Sevilla;Farmacia Fernández Rojo CB;'020363;5;2;1;2;0
Agosto;5;Sevilla;FARMACIA MARTÍN ALFARO;'020438;2;2;0;0;0
Agosto;5;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Agosto;6;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Agosto;6;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;8;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;2;1;1;0;0
Agosto;8;Sevilla;Farmacia Jaime Román Alvarado;'019811;2;2;0;0;0
Agosto;8;Sevilla;Farmacia Fernández Rojo CB;'020363;1;1;0;0;0
Agosto;8;Sevilla;Farmacia PICUPHARMA CB;'020577;4;3;0;1;0
Agosto;8;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Agosto;8;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;1;1;0;0
Agosto;8;Sevilla;Farmacia Manuel Rider Pérez;'020476;2;2;0;0;0
Agosto;8;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Agosto;8;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;1;1;0;0;0
Agosto;8;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;9;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;3;2;1;0;0
Agosto;9;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;2;2;0;0;0
Agosto;9;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;9;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;1;0;0;0
Agosto;9;Sevilla;Farmacia Francisco Balsera Pérez;'020439;6;1;4;1;0
Agosto;9;Sevilla;Farmacia Manuel Rider Pérez;'020476;6;5;1;0;0
Agosto;9;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;2;0;0;0
Agosto;9;Sevilla;Farmacia PICUPHARMA CB;'020577;1;1;0;0;0
Agosto;9;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;10;Sevilla;Farmacia Francisco Balsera Pérez;'020439;8;3;5;0;0
Agosto;10;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;10;Sevilla;Farmacia Manuel Rider Pérez;'020476;4;4;0;0;0
Agosto;10;Sevilla;Farmacia PICUPHARMA CB;'020577;1;1;0;0;0
Agosto;10;Sevilla;FARMACIA OJEDA CASARES;'020209;1;1;0;0;0
Agosto;10;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Agosto;10;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;2;2;0;0;0
Agosto;10;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Agosto;11;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;1;1;0;0;0
Agosto;11;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;11;Sevilla;Farmacia Francisco Balsera Pérez;'020439;2;2;0;0;0
Agosto;11;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Agosto;11;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Agosto;11;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;4;4;0;0;0
Agosto;11;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;1;0;0;0
Agosto;12;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;2;0;0;0
Agosto;12;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;1;0;0;0
Agosto;12;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Agosto;12;Sevilla;Farmacia PICUPHARMA CB;'020577;2;2;0;0;0
Agosto;12;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;13;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;13;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;15;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Agosto;16;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;7;7;0;0;0
Agosto;16;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;4;4;0;0;0
Agosto;16;Sevilla;Farmacia PICUPHARMA CB;'020577;3;3;0;0;0
Agosto;16;Sevilla;Farmacia Francisco Balsera Pérez;'020439;2;0;0;2;0
Agosto;16;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;16;Sevilla;Farmacia Manuel Rider Pérez;'020476;3;3;0;0;0
Agosto;16;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Agosto;16;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Agosto;16;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Agosto;16;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;3;3;0;0;0
Agosto;16;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;17;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;10;4;0;6;0
Agosto;17;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;0;1;0;0
Agosto;17;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Agosto;17;Sevilla;Farmacia Francisco Balsera Pérez;'020439;1;1;0;0;0
Agosto;17;Sevilla;Farmacia PICUPHARMA CB;'020577;4;4;0;0;0
Agosto;17;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;0;0;1;0
Agosto;17;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;1;0;0;0
Agosto;17;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;3;2;0;1;0
Agosto;17;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;18;Sevilla;Farmacia Francisco Balsera Pérez;'020439;6;6;0;0;0
Agosto;18;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;4;4;0;0;0
Agosto;18;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;18;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Agosto;18;Sevilla;FARMACIA MARTÍN ALFARO;'020438;2;1;0;1;0
Agosto;18;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;1;1;0;0;0
Agosto;18;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;19;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Agosto;19;Sevilla;Farmacia Francisco Balsera Pérez;'020439;1;1;0;0;0
Agosto;19;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;19;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;2;2;0;0;0
Agosto;19;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Agosto;19;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;1;0;0;0
Agosto;19;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Agosto;22;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;1;1;0;0;0
Agosto;22;Sevilla;Farmacia PICUPHARMA CB;'020577;5;5;0;0;0
Agosto;22;Sevilla;Farmacia Francisco Balsera Pérez;'020439;1;1;0;0;0
Agosto;22;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Agosto;22;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Agosto;22;Sevilla;Farmacia Manuel Rider Pérez;'020476;2;2;0;0;0
Agosto;22;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Agosto;23;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;1;1;0;0;0
Agosto;23;Sevilla;Farmacia PICUPHARMA CB;'020577;1;1;0;0;0
Agosto;23;Sevilla;FARMACIA OJEDA CASARES;'020209;2;2;0;0;0
Agosto;23;Sevilla;Farmacia Manuel Rider Pérez;'020476;2;2;0;0;0
Agosto;23;Sevilla;FARMACIA MARÍA PAZ TORNOS MAURY;'039967;1;1;0;0;0
Agosto;23;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;3;3;0;0;0
Agosto;23;Sevilla;Farmacia Fernández Rojo CB;'020363;2;2;0;0;0
Agosto;23;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Agosto;23;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;1;0;0;0
Agosto;23;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Agosto;24;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;1;1;0;0;0
Agosto;24;Sevilla;Farmacia PICUPHARMA CB;'020577;4;4;0;0;0
Agosto;24;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Agosto;24;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;1;0;0;0
Agosto;24;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;1;0;0;0
Agosto;24;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;2;2;0;0;0
Agosto;25;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Agosto;25;Sevilla;Farmacia Francisco Balsera Pérez;'020439;3;3;0;0;0
Agosto;25;Sevilla;Farmacia Manuel Rider Pérez;'020476;2;2;0;0;0
Agosto;25;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Agosto;25;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Agosto;26;Sevilla;Farmacia Jaime Román Alvarado;'019811;3;2;0;1;0
Agosto;26;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;2;2;0;0;0
Agosto;26;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Agosto;26;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;4;4;0;0;0
Agosto;26;Sevilla;Farmacia Manuel Rider Pérez;'020476;4;4;0;0;0
Agosto;26;Sevilla;FARMACIA MARTÍN ALFARO;'020438;1;1;0;0;0
Agosto;26;Sevilla;Farmacia Francisco Balsera Pérez;'020439;1;1;0;0;0
Agosto;26;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Agosto;29;Sevilla;Farmacia PICUPHARMA CB;'020577;2;2;0;0;0
Agosto;29;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;29;Sevilla;Farmacia Francisco Balsera Pérez;'020439;1;1;0;0;0
Agosto;29;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Agosto;29;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;4;4;0;0;0
Agosto;29;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;1;0;0;0
Agosto;29;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Agosto;29;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;3;3;0;0;0
Agosto;30;Sevilla;Farmacia PICUPHARMA CB;'020577;2;2;0;0;0
Agosto;30;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Agosto;30;Sevilla;Farmacia Francisco Balsera Pérez;'020439;1;1;0;0;0
Agosto;30;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Agosto;30;Sevilla;Farmacia Manuel Rider Pérez;'020476;3;3;0;0;0
Agosto;30;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;2;0;0;0
Agosto;30;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;3;3;0;0;0
Agosto;31;Sevilla;Farmacia Jaime Román Alvarado;'019811;3;3;0;0;0
Agosto;31;Sevilla;Farmacia Manuel Rider Pérez;'020476;2;2;0;0;0
Agosto;31;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;1;1;0;0;0
Agosto;31;Sevilla;FARMACIA MARTÍN ALFARO;'020438;2;2;0;0;0
Agosto;31;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Septiembre;1;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;2;2;0;0;0
Septiembre;1;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;3;3;0;0;0
Septiembre;1;Sevilla;FARMACIA OJEDA CASARES;'020209;1;1;0;0;0
Septiembre;1;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;2;0;0;0
Septiembre;1;Sevilla;Farmacia PICUPHARMA CB;'020577;9;8;1;0;0
Septiembre;2;Sevilla;Farmacia Fernández Rojo CB;'020363;2;2;0;0;0
Septiembre;2;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;3;3;0;0;0
Septiembre;2;Sevilla;Farmacia PICUPHARMA CB;'020577;4;4;0;0;0
Septiembre;2;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;2;0;0;0
Septiembre;2;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Septiembre;2;Sevilla;FARMACIA MARTÍN ALFARO;'020438;2;2;0;0;0
Septiembre;2;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;1;0;0;0
Septiembre;3;Sevilla;FARMACIA MARTÍN ALFARO;'020438;2;2;0;0;0
Septiembre;3;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Septiembre;3;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;2;2;0;0;0
Septiembre;5;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;1;0;0;0
Septiembre;5;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;1;1;0;0;0
Septiembre;5;Sevilla;Farmacia PICUPHARMA CB;'020577;5;5;0;0;0
Septiembre;5;Sevilla;Farmacia Francisco Balsera Pérez;'020439;2;2;0;0;0
Septiembre;5;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;1;1;0;0;0
Septiembre;5;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;2;0;0;0
Septiembre;5;Sevilla;Farmacia Fernández Rojo CB;'020363;3;3;0;0;0
Septiembre;5;Sevilla;Farmacia Manuel Rider Pérez;'020476;3;3;0;0;0
Septiembre;5;Sevilla;Farmacia Jaime Román Alvarado;'019811;1;1;0;0;0
Septiembre;5;Granada;FARMACIA F.J. VALERO SÁNCHEZ;'023043;1;1;0;0;0
Septiembre;6;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;2;0;0;0
Septiembre;6;Sevilla;Farmacia Manuel Rider Pérez;'020476;1;1;0;0;0
Septiembre;6;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;2;2;0;0;0
Septiembre;6;Sevilla;FARMACIA MARTÍN ALFARO;'020438;3;3;0;0;0
Septiembre;6;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;2;2;0;0;0
Septiembre;7;Sevilla;Farmacia Francisco Balsera Pérez;'020439;3;3;0;0;0
Septiembre;7;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;1;1;0;0;0
Septiembre;7;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;1;1;0;0
Septiembre;8;Sevilla;Farmacia Leopoldo González Sanz de Andino;'020480;4;4;0;0;0
Septiembre;8;Sevilla;Farmacia Fernández Rojo CB;'020363;3;3;0;0;0
Septiembre;8;Sevilla;Farmacia Zoilo Pazos Ramírez;'040029;3;3;0;0;0
Septiembre;8;Sevilla;Farmacia Mª.Carmen Sánchez López CB;'020532;2;1;1;0;0
Septiembre;8;Sevilla;Farmacia Rosa Mª Rodrigo Calvo;'020397;3;3;0;0;0
Septiembre;8;Sevilla;FARMACIA OJEDA CASARES;'020209;2;0;0;2;0
Septiembre;8;Sevilla;Farmacia Ángel María Ariza Abascal;'020251;1;1;0;0;0
Septiembre;9;Huelva;Farmacia Martin Fernandez, Mercedes;'023119;2;2;0;0;0
